Client_ID,year,lat,lng,Minuten,outlier
1550,2019,52.2306615,5.166164999999999,340.0,1
2436,2019,51.8949398,5.9068846,57.5,0
7153,2019,52.2021181,6.550367,105.0,0
7290,2019,51.9218638,5.840908,70.0,0
7388,2019,51.8081812,5.7223845,165.0,0
7812,2019,53.33589809999999,6.362398799999999,42.5,0
8548,2019,51.9846613,5.844251,45.0,0
9259,2019,52.2016046,6.5559419,115.0,0
9618,2019,52.1332951,6.2323011,90.0,0
9841,2019,51.9368516,6.4631845,30.0,0
11535,2019,52.00311840000001,5.6643517,60.0,0
13273,2019,52.2077468,6.2027111,15.0,0
14081,2019,52.7041899,6.9242595,30.0,0
15072,2019,52.1951239,4.623250899999999,30.0,0
15176,2019,53.1852758,5.800275099999999,65.0,0
15219,2019,51.6009902,4.7099517,10.0,0
16159,2019,52.0251134,5.554453800000001,80.0,0
16717,2019,51.313166,5.619711199999999,35.0,0
17047,2019,51.9448843,4.2200913,110.0,0
17431,2019,51.73610780000001,5.8723522,130.0,0
17434,2019,51.9490211,6.310055300000001,70.0,0
17715,2019,52.00724049999999,4.4402264,125.0,0
18302,2019,51.4187327,6.164763199999999,180.0,0
19192,2019,52.0446392,4.392962799999999,120.0,0
19320,2019,50.8684902,6.0253855,120.0,0
19658,2019,52.0219777,5.0780749,160.0,0
20494,2019,52.2033098,6.5571131,45.0,0
20603,2019,52.5969407,6.4644118,32.5,0
20608,2019,51.762531,5.181162899999999,45.0,0
20609,2019,51.8114679,5.7265998,150.0,0
21177,2019,51.6903084,5.337799,45.0,0
21698,2019,52.1951239,4.623250899999999,50.0,0
22543,2019,51.4141342,4.1842473,75.0,0
22580,2019,52.1400222,5.605909,35.0,0
22607,2019,53.2779645,6.6961884,60.0,0
24069,2019,53.3903555,6.556564,70.0,0
24411,2019,51.5950508,4.7181513,42.5,0
24602,2019,51.4608832,3.9027057,120.0,0
25064,2019,51.9769908,6.7222786,10.0,0
25782,2019,52.1082246,6.3092691,80.0,0
27732,2019,52.1847449,5.611407199999999,90.0,0
27871,2019,52.2210251,5.282540099999999,75.0,0
27929,2019,51.6492625,3.9230961,70.0,0
27999,2019,51.9420924,6.4562561,120.0,0
29334,2019,52.1889972,6.596605299999999,120.0,0
30647,2019,52.7952808,6.9028719,50.0,0
30811,2019,51.9432997,4.229833999999999,280.0,1
30964,2019,52.98472599999999,6.9613048,80.0,0
31050,2019,53.1845623,5.7987126,22.5,0
31113,2019,52.0808512,5.096224599999999,47.5,0
31468,2019,52.2649503,4.629830999999999,25.0,0
31667,2019,52.8742591,7.0576089,120.0,0
31833,2019,53.12423829999999,6.8777716,75.0,0
32357,2019,52.7219843,7.0398022,100.0,0
32620,2019,52.2021181,6.550367,70.0,0
32788,2019,52.0108969,5.431598699999999,80.0,0
33317,2019,52.18372609999999,6.5348836,45.0,0
33723,2019,52.7827356,6.1049583,40.0,0
33928,2019,52.054795,6.1012131,45.0,0
34144,2019,52.1622704,5.9626844,60.0,0
34300,2019,51.9453796,6.4614834,142.5,0
35280,2019,51.9470313,5.9299307,75.0,0
37261,2019,52.50701129999999,6.121475999999999,60.0,0
37317,2019,52.19044719999999,6.567028000000001,75.0,0
38221,2019,52.2580813,4.4967478,45.0,0
38458,2019,52.5989963,6.4794589,60.0,0
38647,2019,52.9254027,7.0185191,30.0,0
39106,2019,51.7221553,3.9076648,90.0,0
39306,2019,53.3335112,6.9004112,60.0,0
