Client_ID,year,lat,lng,Minuten,outlier
1550,2020,52.2306615,5.166164999999999,175.0,0
2436,2020,51.8949398,5.9068846,40.0,0
2690,2020,51.9171011,5.845235,57.5,0
7290,2020,51.9218638,5.840908,105.0,0
9259,2020,52.2016046,6.5559419,210.0,1
11538,2020,52.0492309,6.308359599999999,105.0,0
11653,2020,53.1716887,6.6032223,100.0,0
11951,2020,51.5016025,3.9101058,65.0,0
14604,2020,51.9614471,5.035090299999999,60.0,0
14877,2020,51.05512419999999,5.8637498,87.5,0
15551,2020,52.1402213,6.1982925,95.0,0
15964,2020,51.8740172,5.9713506,70.0,0
18302,2020,51.4187327,6.164763199999999,195.0,0
19320,2020,50.8684902,6.0253855,25.0,0
20386,2020,52.15343619999999,6.395002,80.0,0
21698,2020,52.1951239,4.623250899999999,157.5,0
22580,2020,52.1400222,5.605909,35.0,0
24069,2020,53.3903555,6.556564,50.0,0
24144,2020,51.3425058,5.8899957,90.0,0
24602,2020,51.4608832,3.9027057,77.5,0
25064,2020,51.9769908,6.7222786,22.5,0
25782,2020,52.1082246,6.3092691,97.5,0
27871,2020,52.2210251,5.282540099999999,85.0,0
30068,2020,52.67979920000001,5.9623691,90.0,0
30964,2020,52.98472599999999,6.9613048,95.0,0
31468,2020,52.2649503,4.629830999999999,50.0,0
31667,2020,52.8742591,7.0576089,120.0,0
31676,2020,52.2252243,5.1974243,90.0,0
32415,2020,52.0483002,4.6487034,60.0,0
32618,2020,52.16164879999999,5.9629832,37.5,0
32620,2020,52.2021181,6.550367,60.0,0
33723,2020,52.7827356,6.1049583,75.0,0
33928,2020,52.054795,6.1012131,45.0,0
35948,2020,50.9457088,5.7671886,220.0,1
36095,2020,53.1915687,5.8148329,10.0,0
37560,2020,52.7110767,6.8499703,30.0,0
38647,2020,52.9254027,7.0185191,72.5,0
39106,2020,51.7221553,3.9076648,67.5,0
39782,2020,51.9641037,4.9861071,70.0,0
40925,2020,52.1118684,4.2890083,47.5,0
42623,2020,52.1044751,6.304827299999999,45.0,0
42841,2020,52.0137862,5.331078499999999,25.0,0
43702,2020,51.4134615,6.1639689,52.5,0
44462,2020,51.6486406,3.900153599999999,2303.0,1
45290,2020,52.1975987,6.5556321,70.0,0
45670,2020,52.141951,5.387247299999999,130.0,0
45824,2020,52.03101419999999,5.5694851,40.0,0
45930,2020,53.330163,6.7514243,20.0,0
46385,2020,51.9939353,5.9522661,30.0,0
46994,2020,51.0681789,5.8266349,40.0,0
48179,2020,52.996206,6.9624649,30.0,0
48356,2020,52.2681625,6.178019600000001,252.5,1
49128,2020,51.5714929,4.7343801,152.5,0
49723,2020,53.14153839999999,6.928227799999999,70.0,0
49823,2020,51.0465294,5.7907217,300.0,1
50157,2020,52.0108969,5.431598699999999,45.0,0
50595,2020,51.5211818,5.3435295,50.0,0
52083,2020,51.4765272,6.1880912,120.0,0
53083,2020,52.1118869,5.712311,160.0,0
53156,2020,52.7872047,6.933325099999999,30.0,0
53851,2020,51.6050196,6.0527466,45.0,0
54357,2020,51.6602495,4.0974651,82.5,0
54725,2020,51.9084548,5.7410653,120.0,0
55978,2020,53.4131553,6.668404499999999,60.0,0
56151,2020,51.8893965,4.5167231,70.0,0
57314,2020,51.6524323,3.919221599999999,274.0,1
58354,2020,52.1505612,5.3797373,317.5,1
59287,2020,51.956018,6.5873973,130.0,0
60684,2020,51.7601956,4.152699999999999,110.0,0
61579,2020,51.9447649,5.9750635,52.5,0
61582,2020,53.1677505,5.4222723,80.0,0
62053,2020,51.8495481,5.864547000000001,10.0,0
62776,2020,52.2601617,6.807299,87.5,0
63278,2020,52.7097983,6.847944699999999,40.0,0
64059,2020,52.3276422,4.878499000000001,45.0,0
66015,2020,52.3770245,6.751645099999999,95.0,0
66861,2020,51.6486406,3.900153599999999,1635.0,1
68576,2020,53.24870869999999,6.866827799999999,75.0,0
69790,2020,52.7879423,6.1147976,162.5,0
70332,2020,53.0538185,6.9927457,30.0,0
71289,2020,53.2144662,6.553270599999999,510.0,1
71820,2020,51.9480792,6.0188598,145.0,0
72204,2020,51.3317267,5.9694128,150.0,0
73476,2020,51.9950339,5.187522,65.0,0
74725,2020,52.02559669999999,4.4292889,70.0,0
75668,2020,51.976363,6.7238205,95.0,0
76625,2020,52.4991937,4.6601766,80.0,0
76861,2020,52.6944925,6.865321199999999,135.0,0
77332,2020,52.227156,4.525059199999999,45.0,0
77539,2020,51.98933299999999,4.491634900000001,2430.0,1
78055,2020,51.941215,5.017680899999999,82.5,0
78504,2020,52.2872406,5.9698419,50.0,0
78761,2020,50.95802699999999,5.824760899999999,50.0,0
79224,2020,52.0451353,6.1066566,35.0,0
79225,2020,52.0452107,5.6602102,15.0,0
79482,2020,52.0564301,4.5031679,1200.0,1
